对象,类型,四边面,三角面,多边面,UV层,UV最大各向拉伸百分比,UV超过10%三角片数,UV或几何退化三角片数,UV结论
CMF_Floor_covering_study,MESH,384,0,0,CMF_MicroUV,1457984896.0,40,24,不通过
CMF_Floor_covering_study.001,MESH,384,0,0,CMF_MicroUV,36689166336.0,49,25,不通过
CMF_Floor_covering_study.002,MESH,384,0,0,CMF_MicroUV,22703724.0,38,26,不通过
CMF_Floor_covering_study.003,MESH,384,0,0,CMF_MicroUV,4738004480.0,52,30,不通过
CabinV2_Seat_00,MESH,44160,0,0,UVMap,26.948368072509766,7,0,不通过
CabinV2_Seat_01,MESH,44160,0,0,UVMap,26.943635940551758,6,0,不通过
CabinV2_Seat_02,MESH,9216,0,0,UVMap,52.00092697143555,34,0,不通过
CabinV2_Seat_03,MESH,30336,0,0,UVMap,9.87509536743164,0,0,通过
CabinV2_Seat_04,MESH,36288,0,0,UVMap,5.555260181427002,0,0,通过
CabinV2_Seat_05,MESH,52416,0,0,UVMap,1490.4090576171875,114,0,不通过
CabinV2_Seat_06,MESH,40512,0,0,UVMap,675.3807983398438,62,0,不通过
CabinV2_Seat_07,MESH,38304,0,0,UVMap,674.5787353515625,62,0,不通过
CabinV2_Seat_08,MESH,26832,0,0,UVMap,139.3175048828125,31,0,不通过
CabinV2_Seat_09,MESH,26832,0,0,UVMap,521.7332153320312,31,0,不通过
CabinV2_Seat_12,MESH,9216,0,0,UVMap,35.750091552734375,34,0,不通过
CabinV2_Seat_13,MESH,30336,0,0,UVMap,9.765958786010742,0,0,通过
CabinV2_Seat_16,MESH,24480,0,0,UVMap,577.2866821289062,7,0,不通过
CabinV2_Seat_17,MESH,32832,0,0,UVMap,8.32209587097168,0,0,通过
CabinV2_Seat_18,MESH,9216,0,0,UVMap,33.92486572265625,28,0,不通过
CabinV2_Seat_19,MESH,54240,0,0,UVMap,33.193336486816406,18,0,不通过
CabinV2_Seat_24,MESH,31968,0,0,UVMap,93.02734375,3,0,不通过
CabinV2_Seat_25,MESH,28704,0,0,UVMap,341.36395263671875,12,0,不通过
CabinV2_Seat_26,MESH,32832,0,0,UVMap,8.310544967651367,0,0,通过
CabinV2_Seat_27,MESH,9216,0,0,UVMap,32.334529876708984,30,0,不通过
CabinV3_DialKnurl_00,MESH,216,0,0,UV贴图,1.0208845138549805,0,0,通过
CabinV3_DialKnurl_01,MESH,216,0,0,UV贴图,1.0661602020263672,0,0,通过
CabinV3_DialKnurl_02,MESH,216,0,0,UV贴图,1.1602282524108887,0,0,通过
CabinV3_DialKnurl_03,MESH,216,0,0,UV贴图,1.0439872741699219,0,0,通过
CabinV3_DialKnurl_04,MESH,216,0,0,UV贴图,1.0956525802612305,0,0,通过
CabinV3_DialKnurl_05,MESH,216,0,0,UV贴图,1.1084914207458496,0,0,通过
CabinV3_DialKnurl_06,MESH,216,0,0,UV贴图,1.0460972785949707,0,0,通过
CabinV3_DialKnurl_07,MESH,216,0,0,UV贴图,1.0515809059143066,0,0,通过
CabinV3_DialKnurl_08,MESH,216,0,0,UV贴图,1.239168643951416,0,0,通过
CabinV3_DialKnurl_09,MESH,216,0,0,UV贴图,1.0386347770690918,0,0,通过
CabinV3_DialKnurl_10,MESH,216,0,0,UV贴图,1.099395751953125,0,0,通过
CabinV3_DialKnurl_11,MESH,216,0,0,UV贴图,1.017308235168457,0,0,通过
CabinV3_DialKnurl_12,MESH,216,0,0,UV贴图,1.235806941986084,0,0,通过
CabinV3_DialKnurl_13,MESH,216,0,0,UV贴图,1.1188387870788574,0,0,通过
CabinV3_DialKnurl_14,MESH,216,0,0,UV贴图,1.1677265167236328,0,0,通过
CabinV3_DialKnurl_15,MESH,216,0,0,UV贴图,1.156461238861084,0,0,通过
CabinV3_DialKnurl_16,MESH,216,0,0,UV贴图,1.1294960975646973,0,0,通过
CabinV3_DialKnurl_17,MESH,216,0,0,UV贴图,1.15126371383667,0,0,通过
CabinV3_DialKnurl_18,MESH,216,0,0,UV贴图,1.0241508483886719,0,0,通过
CabinV3_DialKnurl_19,MESH,216,0,0,UV贴图,1.075899600982666,0,0,通过
CabinV3_DialKnurl_20,MESH,216,0,0,UV贴图,1.1116623878479004,0,0,通过
CabinV3_DialKnurl_21,MESH,216,0,0,UV贴图,1.1965155601501465,0,0,通过
CabinV3_DialKnurl_22,MESH,216,0,0,UV贴图,1.2315750122070312,0,0,通过
CabinV3_DialKnurl_23,MESH,216,0,0,UV贴图,1.1915922164916992,0,0,通过
CabinV3_DialKnurl_24,MESH,216,0,0,UV贴图,1.2366533279418945,0,0,通过
CabinV3_DialKnurl_25,MESH,216,0,0,UV贴图,1.060807704925537,0,0,通过
CabinV3_DialKnurl_26,MESH,216,0,0,UV贴图,1.1417746543884277,0,0,通过
CabinV3_DialKnurl_27,MESH,216,0,0,UV贴图,1.1024951934814453,0,0,通过
CabinV3_DialKnurl_28,MESH,216,0,0,UV贴图,1.029348373413086,0,0,通过
CabinV3_DialKnurl_29,MESH,216,0,0,UV贴图,1.101219654083252,0,0,通过
CabinV3_DialKnurl_30,MESH,216,0,0,UV贴图,1.1781811714172363,0,0,通过
CabinV3_DialKnurl_31,MESH,216,0,0,UV贴图,1.0934233665466309,0,0,通过
CabinV3_DialKnurl_32,MESH,216,0,0,UV贴图,1.1379480361938477,0,0,通过
CabinV3_DialKnurl_33,MESH,216,0,0,UV贴图,1.023101806640625,0,0,通过
CabinV3_DialKnurl_34,MESH,216,0,0,UV贴图,1.1110782623291016,0,0,通过
CabinV3_DialKnurl_35,MESH,216,0,0,UV贴图,1.0233759880065918,0,0,通过
CabinV3_DialKnurl_36,MESH,216,0,0,UV贴图,1.0087132453918457,0,0,通过
CabinV3_DialKnurl_37,MESH,216,0,0,UV贴图,1.0233759880065918,0,0,通过
CabinV3_DialKnurl_38,MESH,216,0,0,UV贴图,1.0997891426086426,0,0,通过
CabinV3_DialKnurl_39,MESH,216,0,0,UV贴图,1.0318875312805176,0,0,通过
CabinV3_DialKnurl_40,MESH,216,0,0,UV贴图,1.123511791229248,0,0,通过
