材质,通道,图像,尺寸,已打包
TX_000_CMF_Carpet,Base Color,color.jpg.002,2048 × 2048,True
TX_000_CMF_Carpet,Normal,normal.jpg.002,2048 × 2048,True
TX_000_CMF_Carpet,Roughness,roughness.jpg.002,2048 × 2048,True
TX_001_CMF_Carpet,Base Color,color.jpg.002,2048 × 2048,True
TX_001_CMF_Carpet,Normal,normal.jpg.002,2048 × 2048,True
TX_001_CMF_Carpet,Roughness,roughness.jpg.002,2048 × 2048,True
TX_002_CMF_Carpet,Base Color,color.jpg.002,2048 × 2048,True
TX_002_CMF_Carpet,Normal,normal.jpg.002,2048 × 2048,True
TX_002_CMF_Carpet,Roughness,roughness.jpg.002,2048 × 2048,True
TX_003_CMF_Carpet,Base Color,color.jpg.002,2048 × 2048,True
TX_003_CMF_Carpet,Normal,normal.jpg.002,2048 × 2048,True
TX_003_CMF_Carpet,Roughness,roughness.jpg.002,2048 × 2048,True
TX_006_CabinV2_Leather_Perforated_Backrest,Base Color,V5_unit_factor,2048 × 2048,True
TX_006_CabinV2_Leather_Perforated_Backrest,Normal,V5_flat_normal,2048 × 2048,True
TX_006_CabinV2_Leather_Perforated_Backrest,Roughness,V5_unit_factor,2048 × 2048,True
TX_004_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_004_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_004_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_005_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_005_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_005_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_009_CabinV2_Leather_Perforated_Backrest,Base Color,V5_unit_factor,2048 × 2048,True
TX_009_CabinV2_Leather_Perforated_Backrest,Normal,V5_flat_normal,2048 × 2048,True
TX_009_CabinV2_Leather_Perforated_Backrest,Roughness,V5_unit_factor,2048 × 2048,True
TX_007_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_007_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
